id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geo_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,nom_alcaldia,cve_mun
101,27/01/2021 18:00,1089,716,2,19.49749947,-99.16459656,"19.4974994659,-99.1645965576",0,487,0,9740871,20200428,61,Azcapotzalco,2
102,27/01/2021 18:00,1091,718,2,19.49189949,-99.13860321,"19.4918994904,-99.1386032104",8,0,0,9740043,20200428,61,Gustavo A. Madero,5
103,27/01/2021 18:00,1180,731,1,19.48789978,-99.11460114,"19.4878997803,-99.1146011353",6,0,0,9741199,20200428,61,Gustavo A. Madero,5
104,27/01/2021 18:00,1181,732,2,19.48880005,-99.12830353,"19.4888000488,-99.1283035278",5,0,0,9741103,20200428,61,Gustavo A. Madero,5
105,27/01/2021 18:00,1185,736,2,19.50699997,-99.19950104,"19.5069999695,-99.1995010376",0,161,2,,,,Azcapotzalco,2
106,27/01/2021 18:00,1117,764,2,19.49489975,-99.15339661,"19.4948997498,-99.1533966064",8,563,0,9740103,20200428,61,Gustavo A. Madero,5
107,27/01/2021 18:00,1122,769,2,19.46910095,-99.06410217,"19.4691009521,-99.0641021729",8,308,0,9741259,20200428,61,Gustavo A. Madero,5
108,27/01/2021 18:00,1135,787,2,0,-103.4889984,"0.0,-103.488998413",0,0,0,9739295,20200428,61,,
109,27/01/2021 18:00,1141,793,2,19.51110077,-99.1984024,"19.511100769,-99.1984024048",6,137,0,9740595,20200428,61,Azcapotzalco,2
110,27/01/2021 18:00,1144,796,2,19.46949959,-99.06469727,"19.469499588,-99.0646972656",4,0,0,9739455,20200428,61,Gustavo A. Madero,5
111,27/01/2021 18:00,1146,798,2,19.48380089,-99.11779785,"19.4838008881,-99.1177978516",11,318,0,9739935,20200428,61,Gustavo A. Madero,5
112,27/01/2021 18:00,711,811,2,19.48719978,-99.11389923,"19.4871997833,-99.113899231",0,157,2,,,,Gustavo A. Madero,5
113,27/01/2021 18:00,714,814,1,19.42810059,-99.16500092,"19.4281005859,-99.1650009155",1,0,0,9674201,20200428,171,Cuahtemoc,15
114,27/01/2021 18:00,719,819,1,19.42420006,-99.17389679,"19.424200058,-99.1738967896",10,0,0,9671366,20200428,171,Cuahtemoc,15
115,27/01/2021 18:00,730,830,1,19.4314003,-99.15840149,"19.4314002991,-99.1584014893",7,0,0,9671822,20200428,171,Cuahtemoc,15
116,27/01/2021 18:00,745,845,2,19.49279976,-99.12059784,"19.4927997589,-99.1205978394",0,1500,0,9672980,20200428,171,Cuahtemoc,15
117,27/01/2021 18:00,749,901,1,19.43610001,-99.14890289,"19.4361000061,-99.1489028931",5,0,0,9671930,20200428,171,Cuahtemoc,15
118,27/01/2021 18:00,770,922,2,19.42679977,-99.1996994,"19.4267997742,-99.1996994019",0,377,2,,,,Miguel Hidalgo,16
119,27/01/2021 18:00,771,923,1,19.47850037,-99.12120056,"19.4785003662,-99.1212005615",0,0,0,9673280,20200428,171,Gustavo A. Madero,5
120,27/01/2021 18:00,774,926,1,19.49160004,-99.12010193,"19.4916000366,-99.1201019287",0,73,2,,,,Gustavo A. Madero,5
121,27/01/2021 18:00,781,933,1,0,-103.4889984,"0.0,-103.488998413",0,6,2,,,,,
122,27/01/2021 18:00,788,940,1,19.49329948,-99.1210022,"19.4932994843,-99.1210021973",0,0,0,9672609,20200428,171,Gustavo A. Madero,5
123,27/01/2021 18:00,790,942,2,19.42679977,-99.19940186,"19.4267997742,-99.1994018555",0,401,2,,,,Miguel Hidalgo,16
124,27/01/2021 18:00,992,1019,2,19.38279915,-99.1760025,"19.3827991486,-99.1760025024",7,0,0,9731841,20200428,367,Benito Juarez,14
125,27/01/2021 18:00,997,1024,2,19.41279984,-99.16629791,"19.4127998352,-99.1662979126",7,0,2,,,,Cuahtemoc,15
126,27/01/2021 18:00,10016,1036,2,19.30139923,-99.18579865,"19.301399231,-99.185798645",12,233,0,9732076,20200428,367,Miguel Hidalgo,16
127,27/01/2021 18:00,10019,1039,2,19.41959953,-99.16419983,"19.4195995331,-99.1641998291",3,0,0,9730466,20200428,367,Cuahtemoc,15
128,27/01/2021 18:00,10023,1043,2,19.41629982,-99.16519928,"19.4162998199,-99.1651992798",1,0,0,9730336,20200428,367,Cuahtemoc,15
129,27/01/2021 18:00,1159,1050,2,19.48990059,-99.12169647,"19.489900589,-99.1216964722",16,1176,0,9734093,20200428,367,Gustavo A. Madero,5
130,27/01/2021 18:00,1255,1066,2,19.3526001,-99.18579865,"19.3526000977,-99.185798645",0,192,0,9729763,20200428,367,Alvaro Obregon,10
131,27/01/2021 18:00,1257,1068,1,19.28300095,-99.17510223,"19.283000946,-99.1751022339",10,0,0,9732416,20200428,367,Tlalpan,17
132,27/01/2021 18:00,1259,1070,2,19.49909973,-99.11959839,"19.4990997314,-99.1195983887",0,0,2,,,,Gustavo A. Madero,5
133,27/01/2021 18:00,1177,1096,2,19.29870033,-99.1855011,"19.2987003326,-99.1855010986",7,0,2,,,367,Tlalpan,17
134,27/01/2021 18:00,1164,1105,2,19.41609955,-99.16529846,"19.4160995483,-99.1652984619",5,0,2,,,367,Cuahtemoc,15
135,27/01/2021 18:00,1167,1108,2,19.4708004,-99.13749695,"19.4708003998,-99.1374969482",16,839,0,9733962,20200428,367,Gustavo A. Madero,5
136,27/01/2021 18:00,1070,1307,2,19.3757,-99.17839813,"19.3756999969,-99.1783981323",8,414,2,,,367,Benito Juarez,14
137,27/01/2021 18:00,1062,2302,2,19.38979912,-99.05870056,"19.389799118,-99.0587005615",0,1790,2,,,,Iztapalapa,7
138,27/01/2021 18:00,10015,2303,2,19.39529991,-99.14800262,"19.3952999115,-99.1480026245",0,510,0,9736875,20200428,301,Benito Juarez,14
139,27/01/2021 18:00,1186,2304,2,19.39109993,-99.04759979,"19.3910999298,-99.0475997925",0,0,0,9737862,20200428,301,Iztapalapa,7
140,27/01/2021 18:00,1192,2310,2,19.38979912,-99.05889893,"19.389799118,-99.0588989258",0,1790,2,,,,Iztapalapa,7
141,27/01/2021 18:00,930,2340,2,19.3871994,-99.08039856,"19.3871994019,-99.0803985596",6,0,0,9737384,20200428,301,Iztapalapa,7
142,27/01/2021 18:00,1234,2365,2,19.38979912,-99.05950165,"19.389799118,-99.0595016479",0,997,0,9737659,20200428,301,Iztapalapa,7
143,27/01/2021 18:00,1289,222,2,19.39100075,-99.04769897,"19.3910007477,-99.0476989746",0,94,2,,,,Iztapalapa,7
144,27/01/2021 18:00,367,309,2,19.38279915,-99.06159973,"19.3827991486,-99.0615997314",8,114,0,9737575,20200428,301,Iztacalco,6
145,27/01/2021 18:00,375,317,1,19.46489906,-99.05950165,"19.4648990631,-99.0595016479",0,0,2,,,,Gustavo A. Madero,5
146,27/01/2021 18:00,1018,339,2,19.39780045,-99.12950134,"19.3978004456,-99.1295013428",9,492,0,9737162,20200428,301,Iztacalco,6
147,27/01/2021 18:00,398,340,2,19.4022007,-99.1867981,"19.4022006989,-99.1867980957",0,735,0,9736450,20200428,301,Miguel Hidalgo,16
148,27/01/2021 18:00,3,403,2,19.41279984,-99.15470123,"19.4127998352,-99.1547012329",0,171,0,9685833,20200428,1,Cuahtemoc,15
149,27/01/2021 18:00,20,420,2,19.42560005,-99.14929962,"19.4256000519,-99.1492996216",4,512,0,9685658,20200428,1,Cuahtemoc,15
150,27/01/2021 18:00,22,422,2,19.41959953,-99.15409851,"19.4195995331,-99.1540985107",1,560,0,9685769,20200428,1,Cuahtemoc,15
151,27/01/2021 18:00,23,423,2,19.47920036,-99.14800262,"19.4792003632,-99.1480026245",5,561,0,9685204,20200428,1,Gustavo A. Madero,5
152,27/01/2021 18:00,28,428,1,19.49609947,-99.15450287,"19.496099472,-99.1545028687",7,0,0,9684465,20200428,1,Azcapotzalco,2
153,27/01/2021 18:00,37,437,2,19.52709961,-99.1690979,"19.5270996094,-99.1690979004",3,166,0,9684697,20200428,1,Gustavo A. Madero,5
154,27/01/2021 18:00,1147,461,1,19.44059944,-99.14859772,"19.4405994415,-99.1485977173",7,0,0,9684137,20200428,1,Cuahtemoc,15
155,27/01/2021 18:00,1151,465,2,19.46579933,-99.14299774,"19.4657993317,-99.1429977417",10,300,0,9685323,20200428,1,Azcapotzalco,2
